Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
5.3,10,17,77,33,8.8,No,24,35394,78,273.8
7.5,10,13,90,52,8.4,Yes,14,48661,75,190.7
6.9,10,19,83,46,9.4,No,16,48433,73,177.5
7.6,11,11,81,38,9.4,No,16,50907,75,259.4
8,11,17,85,65,8.4,No,15,51855,67,246.6
8.3,11,13,91,58,6.3,No,10,69357,82,173.8
8.9,11,28,61,26,8.9,No,9,72513,84,175.2
7.2,11,10,82,48,8.9,No,16,44933,72,194.6
7.8,11,9,88,60,8.8,No,13,51897,75,183.9
5.4,11,16,84,65,9,No,17,46814,84,224.4
6.6,11,16,85,54,9.5,No,19,38314,85,283.1
7.8,11,19,88,47,7.7,No,13,49830,80,202.8
7.7,11,13,89,57,8,Yes,13,53190,80,193.7
7.7,11,21,76,49,7.1,No,16,47605,70,173.1
6.6,11,9,86,52,8.3,No,18,45698,76,170.8
7.6,11,12,86,50,8,No,11,45648,75,200.9
4.6,11,23,70,36,10.8,No,19,40190,67,153.4
9.1,11,9,78,39,7.4,No,9,48578,72,273
8.5,11,13,85,54,6.4,No,12,50096,63,191.2
7.4,11,8,87,51,7.4,No,15,53471,74,223.6
9,12,11,94,70,9.1,No,9,81151,89,158.9
8,12,6,92,67,9.4,No,11,55832,80,203.6
6.6,12,13,92,63,8.4,No,17,45357,85,190.1
7.9,12,9,85,60,8.8,No,14,46553,80,229.3
7.8,12,10,91,55,5.4,No,15,51030,80,193.8
6.3,12,14,91,50,7.7,No,16,43642,69,202.5
6.7,12,13,87,52,8.9,No,15,42710,76,214.3
3.1,12,11,93,73,6.4,No,14,43367,75,144.3
8.5,12,14,92,69,5.8,No,10,73264,71,167.4
7.7,12,13,84,44,8,No,16,49242,80,247.3
6.4,12,12,84,57,7.7,Yes,15,45084,68,181.2
8.8,12,12,91,64,7.2,No,8,60133,85,189.4
6.8,13,16,83,48,8.9,Yes,13,44458,78,215.2
5.8,13,11,87,54,10,No,16,53708,79,259.1
6.4,13,10,75,37,8.9,Yes,16,39222,80,343.9
7.2,13,9,89,51,6.9,No,18,43350,86,208.1
4.8,13,10,94,56,4.9,No,10,43666,86,140.4
6,13,12,83,40,7.5,No,16,48288,78,218.6
7.4,13,13,79,40,7.3,No,17,45908,80,186
7.5,13,9,87,39,6.9,No,15,43773,73,188.9
7.5,14,19,84,59,8.4,No,15,42973,70,187.4
6.7,14,6,94,57,9,No,11,59285,83,205.9
6.5,14,7,89,57,9.5,No,12,54219,80,185.1
8.4,14,8,93,70,8.8,No,12,68135,82,180.3
7.7,14,8,96,75,8.5,Yes,9,64886,83,155.7
8.1,14,6,85,58,9.4,No,12,57111,81,208.8
6.3,14,9,75,40,8,No,20,38213,75,222.3
6.9,14,10,80,50,8.5,No,20,48290,70,229.9
8.1,14,7,91,69,6.5,No,13,46968,73,135
6.9,14,16,78,36,9,No,20,46493,86,265.6
5.9,14,18,79,47,8.9,No,19,30992,85,247.4
8.5,14,5,91,62,6.5,No,12,59744,75,163.1
7.8,14,13,81,56,7.5,No,16,41630,71,166.2
7.8,14,17,84,47,7.8,No,15,42808,72,183.6
7.6,14,23,89,64,6.7,Yes,15,46712,71,206.2
5.9,15,16,78,32,8,No,15,43994,78,185
7.7,15,13,86,51,9.1,Yes,13,59246,81,210
7.9,15,9,84,46,9.1,No,15,53170,71,164.7
3.1,15,11,79,30,8.8,Yes,20,33294,70,367.2
7.7,15,11,87,66,7.1,Yes,11,60437,75,180.1
7.2,15,11,98,65,5.7,No,13,56291,75,169.9
5,15,15,98,84,5.3,No,12,55599,68,159.5
6.7,15,12,91,70,5.6,No,9,49086,76,208.4
6.9,15,9,80,42,7.9,Yes,19,38571,72,257.1
8.5,15,9,88,46,7.3,Yes,10,58929,82,157.7
2.7,16,21,81,54,2.5,No,24,36319,80,141.6
7.3,16,17,82,54,9,No,15,51431,69,259.9
7.6,16,8,85,46,9.3,No,14,46844,83,279.1
7.4,16,8,82,49,9,No,16,45177,81,210.5
5.2,16,10,84,39,10.1,Yes,19,39695,70,201.3
6.9,16,13,93,66,6.9,No,10,60462,75,170.4
4.3,16,13,86,48,7.1,Yes,16,52783,72,236.1
7.4,16,9,88,51,8.3,No,15,49088,78,227.3
6.4,16,22,81,36,9.6,No,20,36749,69,299.7
6.7,16,13,79,62,8,No,13,39969,77,196.6
